TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.25.40.660	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	174000	vps-35
3.40.630.60	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	172291	oaz-1
1.20.58.150	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	171952	unc-11
3.50.30.20	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	174385	pyr-1
1.25.40.40	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	176707	cox-5A
1.10.10.1610	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	174005	egl-44
1.10.10.2740	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	175621	emb-5
1.20.930.20	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	180419	sli-1
1.20.120.1960	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	180664	F47B7.2
1.10.10.460	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	266861	rnh-2
1.10.1820.10	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	172610	kin-10
1.10.3450.40	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	179686	srpa-68
3.40.50.1370	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	174385	pyr-1
1.10.150.210	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	178304	Y62E10A.13
1.20.58.880	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	179541	atp-5
1.10.1030.10	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	174385	pyr-1
1.20.58.1260	-	0.0879221732747682	-2.43130325041648	1	1	0.00208768267223382	479	5448	3564838	lea-1
1.10.1300.10	-	0.0912393259929971	-2.3942692687809	6	2	0.00417536534446764	479	5448	174235,176270	pde-4,pde-2
1.10.2000.10	-	0.0912393259929971	-2.3942692687809	6	2	0.00417536534446764	479	5448	172856,174473	mom-5,cam-1
3.30.40.160	-	0.0912393259929971	-2.3942692687809	6	2	0.00417536534446764	479	5448	173927,176499	F07F6.4,W09D10.1
1.20.900.10	-	0.0925777035410787	-2.37970694881651	20	4	0.00835073068893528	479	5448	180571,4926960,181153,179808	cgef-1,Y37A1B.17,vav-1,uig-1
1.10.418.10	-	0.118095588826273	-2.13626090765105	30	5	0.0104384133611691	479	5448	175653,179077,181168,181153,172326	F26F4.5,unc-70,fln-2,vav-1,chdp-1
3.60.10.10	-	0.118825607747415	-2.13009834185248	14	3	0.00626304801670146	479	5448	178284,172822,178184	unc-26,ocrl-1,ccr-4
1.10.840.10	-	0.120507820818431	-2.11604062510002	7	2	0.00417536534446764	479	5448	180611,181274	rgl-1,plc-1
1.10.555.10	-	0.137965902075219	-1.98074871076727	23	4	0.00835073068893528	479	5448	172822,175849,172530,176201	ocrl-1,T04C9.1,rlbp-1,pac-1
3.80.10.10	-	0.137991012394038	-1.98056672352526	116	14	0.0292275574112735	479	5448	176115,179708,174284,178184,171635,175596,179171,172455,176215,175249,176175,177981,177286,172670	ran-2,F28C1.3,zyg-11,ccr-4,tol-1,pan-1,let-413,crml-1,fli-1,zer-1,iglr-2,F13E9.1,soc-2,egg-6
2.60.200.10	-	0.151660845945196	-1.88610852781909	8	2	0.00417536534446764	479	5448	177908,180431	daf-14,daf-3
3.40.1180.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	174439	F37B12.3
3.30.1390.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	171953	ubr-1
1.10.3500.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	175621	emb-5
1.20.5.690	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	177533	ima-3
1.10.150.680	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	174535	nos-3
3.10.129.110	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	172715	fasn-1
2.130.10.130	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	176296	ina-1
2.40.160.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	174431	tomm-40
3.30.810.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	172184	ppk-1
3.30.450.40	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	176270	pde-2
1.10.950.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	181227	unc-115
2.40.30.20	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	3564970	vha-13
2.60.120.470	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	171897	txl-1
2.170.240.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	176314	emb-9
1.10.8.980	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	178250	mbk-2
3.30.420.140	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	175621	emb-5
2.20.70.30	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	174090	icd-1
1.20.120.140	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	259584	F21D5.7
3.90.1110.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	172752	rpoa-2
1.25.40.1020	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	172174	erm-1
3.40.50.1380	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	174385	pyr-1
1.10.1140.10	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	3564970	vha-13
1.10.10.580	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	181003	coh-1
1.10.10.650	-	0.168128760199953	-1.78302516337456	2	1	0.00208768267223382	479	5448	175621	emb-5
3.90.550.10	-	0.16844570706485	-1.78114179437656	52	7	0.0146137787056367	479	5448	175497,176112,172851,181007,176736,178661,181160	C36A4.4,gly-3,sqv-5,uggt-1,gly-5,gly-7,gly-13
1.10.30.10	-	0.206647416403565	-1.57674124038387	18	3	0.00626304801670146	479	5448	175890,172162,175081	hmg-1.2,sem-2,hmg-1.1
3.30.1490.20	-	0.206647416403565	-1.57674124038387	18	3	0.00626304801670146	479	5448	180485,181026,174385	acly-1,pcca-1,pyr-1
3.40.50.12780	-	0.209164906435974	-1.56463231212526	27	4	0.00835073068893528	479	5448	180992,176005,180859,171643	sur-5,acs-4,acs-17,acs-13
2.60.40.10	-	0.210989773357029	-1.55594561418289	198	21	0.0438413361169102	479	5448	181313,178740,177373,173794,172822,181168,177560,174473,172233,175951,177602,181115,181093,176175,181289,181283,3565419,174685,177597,180958,179162	C34F6.10,ketn-1,lag-1,vab-1,ocrl-1,fln-2,hcf-1,cam-1,unc-40,dig-1,sax-7,rig-1,wrk-1,iglr-2,ver-3,dgn-1,clr-1,ptp-3,rig-4,rig-3,mig-6
2.130.10.30	-	0.217479552405628	-1.52565044480094	10	2	0.00417536534446764	479	5448	179306,174332	glo-4,ran-3
3.40.47.10	-	0.217479552405628	-1.52565044480094	10	2	0.00417536534446764	479	5448	176216,172715	B0303.3,fasn-1
3.40.50.10330	-	0.217479552405628	-1.52565044480094	10	2	0.00417536534446764	479	5448	177667,180720	dgk-4,dgk-2
1.25.40.20	-	0.221300189808399	-1.50823517422826	86	10	0.0208768267223382	479	5448	177486,178000,174484,176800,181196,180545,179231,177927,177335,172825	hecd-1,kdin-1,mel-11,acbp-5,ipla-2,C43H6.3,F45F2.10,mask-1,fem-1,gfi-2
1.20.930.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	173960	mdt-26
2.60.120.230	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	266833	pamn-1
1.20.1050.80	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	3565509	rin-1
3.40.50.11210	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	171663	hgap-1
2.40.270.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172752	rpoa-2
2.60.40.1660	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	181494	nkb-3
4.10.1110.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172441	F22D6.2
1.20.142.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	3565967	parp-2
3.40.50.1580	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	176851	K02D7.1
4.10.320.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	174279	dbt-1
3.30.70.850	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172333	bli-4
2.40.50.150	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172752	rpoa-2
2.60.120.310	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	266833	pamn-1
1.10.580.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	180485	acly-1
3.90.700.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	181108	sdha-1
1.10.760.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172582	cyc-1
