TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.287.110	-	0.128373388322957	-2.05281216525851	34	4	0.012779552715655	313	5448	172594,173278,172173,174514	rme-8,dnj-29,dnj-4,dnj-20
1.10.400.10	-	0.129230487785452	-2.04615774189941	22	3	0.00958466453674121	313	5448	171687,179746,172505	gsa-1,gpa-13,goa-1
1.10.630.10	-	0.137756391097243	-1.98226843567517	75	7	0.0223642172523962	313	5448	189444,187185,188399,183248,179550,188400,181848	cyp-33D3,cyp-14A3,cyp-34A1,cyp-25A4,cyp-29A2,cyp-34A2,cyp-34A6
2.130.10.10	-	0.142609963089115	-1.94764190605746	163	13	0.0415335463258786	313	5448	171860,181511,173778,180800,188117,179878,172355,173617,176758,3565128,177003,175742,178060	copa-1,tbc-19,ZK430.7,vps-41,T05C3.2,sel-10,nmtn-1,T05A8.5,lis-1,adpr-1,cpsf-1,Y32H12A.8,sec-31
2.60.120.10	-	0.142643716676742	-1.94740524942388	23	3	0.00958466453674121	313	5448	180864,178624,180896	kin-2,egl-2,C14F11.6
3.40.50.10810	-	0.156494928551473	-1.85473167494889	24	3	0.00958466453674121	313	5448	178970,3565716,176462	let-418,M04C3.1,M03C11.8
3.20.20.10	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	173906	F09E5.8
2.70.130.10	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	174515	ZK1307.8
3.30.750.24	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	189195	sulp-7
1.10.720.40	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	175058	lem-2
1.10.10.440	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	176343	ZK1098.1
3.30.70.600	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	173309	rps-20
2.40.50.770	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	178599	Y50D4C.3
1.20.930.10	-	0.162672286853028	-1.81601761206796	3	1	0.00319488817891374	313	5448	173960	mdt-26
3.40.309.10	-	0.169289704366265	-1.77614380464991	13	2	0.00638977635782748	313	5448	174991,173510	alh-7,alh-6
2.60.40.1180	-	0.169289704366265	-1.77614380464991	13	2	0.00638977635782748	313	5448	180749,172178	aman-1,aman-3
3.40.605.10	-	0.169289704366265	-1.77614380464991	13	2	0.00638977635782748	313	5448	174991,173510	alh-7,alh-6
3.20.20.190	-	0.190399416588577	-1.65863122076519	14	2	0.00638977635782748	313	5448	180029,177509	plc-2,T12B3.3
1.20.140.30	-	0.210805174679301	-1.5568209148017	4	1	0.00319488817891374	313	5448	185482	mob-1
2.60.40.1730	-	0.211831861593225	-1.55196242467717	15	2	0.00638977635782748	313	5448	185900,177088	F47B8.8,Y67D8C.9
